student_id,term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11
56,,,本院-耳鼻咽喉・頭頸部外科,,,本院-脳神経外科,本院-心臓外科,未配属,,,
57,,第三-総合診療部（看護共修実習：2ターム目のみ）,本院-リハビリテーション科,,,柏-救急科,,,,柏-内科（リウマチ・膠原病）,
58,柏-整形外科,,,本院-形成外科,,,,本院-精神神経科,本院-本院画像診断部,,
59,葛飾-内科（循環器）,,,柏-内科（消化器・肝臓）,,,,柏-泌尿器科,柏-内科（呼吸器）,,
61,本院-形成外科,,,葛飾-分院外科,,,,葛飾-内科（呼吸器）,,,本院-眼科
62,,,葛飾-内科（糖尿病・代謝・内分泌）,,,柏-内科（消化器・肝臓）,葛飾-内科（呼吸器）,葛飾-内科（循環器）,,,
63,葛飾-産婦人科,,,本院-眼科,本院-救急科,,,,柏-内科（消化器・肝臓）,,
65,,,本院-内科（腎臓・高血圧）,,,本院-産婦人科,柏-救急科,,,葛飾-内科（糖尿病・代謝・内分泌）,
66,柏-泌尿器科,,,本院-眼科,,,,本院-精神神経科,柏-整形外科,,
67,,,第三-耳鼻咽喉・頭頸部外科,,,葛飾-内科（呼吸器）,第三-内科（消化器・肝臓）,第三-産婦人科,,,
68,,,本院-本院画像診断部,,,本院-感染制御科,葛飾-内科（糖尿病・代謝・内分泌）,,,本院-精神神経科,
70,,,本院-麻酔科,本院-救急科,,,,本院-産婦人科,,,本院-本院画像診断部
71,,本院-麻酔科,,,本院-内科（消化器・肝臓）,柏-救急科,,,,本院-泌尿器科,
73,本院-眼科,第三-内科（消化器・肝臓）,,,柏-内科（呼吸器）,,,,柏-内科（腫瘍・血液）,,
74,本院-救急科,葛飾-内科（呼吸器）,,,本院-耳鼻咽喉・頭頸部外科,,,,本院-眼科,,
75,,本院-感染制御科,,,柏-泌尿器科,,,,柏-救急科,本院-救急科,
76,柏-救急科,本院-形成外科,,,柏-内科（消化器・肝臓）,,,,本院-本院画像診断部,,
77,,本院-眼科,本院-本院画像診断部,,,葛飾-内科（糖尿病・代謝・内分泌）,,,,葛飾-内科（循環器）,
78,,本院-内科（循環器）,,,本院-内科（消化器・肝臓）,,,,本院-整形外科,第三-内科（呼吸器）,
81,,本院-内科（消化器・肝臓）,,,葛飾-内科（循環器）,,,,本院-内科（糖尿病・代謝・内分泌）,葛飾-皮膚科,
82,,柏-救急科,,,本院-精神神経科,第三-総合診療部（その他）,,,,本院-本院画像診断部,
84,,本院-麻酔科,本院-眼科,,,本院-内視鏡部,,,,本院-泌尿器科,
86,,,本院-脳神経外科,,,柏-救急科,本院-泌尿器科,本院-本院画像診断部,,,
88,本院-内科（消化器・肝臓）,,,本院-整形外科,,,,本院-内視鏡部,,,柏-内科（消化器・肝臓）
89,,,本院-内科（消化器・肝臓）,,,本院-整形外科,本院-内科（循環器）,本院-感染制御科,,,
90,本院-感染制御科,,,本院-内科（消化器・肝臓）,,,,葛飾-皮膚科,本院-内視鏡部,,
92,本院-小児科,,,本院-内科（消化器・肝臓）,柏-内科（循環器）,,,,葛飾-内科（循環器）,,
94,本院-内科（脳神経）,,,本院-リハビリテーション科,本院-本院画像診断部,,,,葛飾-内科（糖尿病・代謝・内分泌）,,
98,第三-内科（消化器・肝臓）,,,葛飾-内科（循環器）,,,,柏-小児科,,,葛飾-内科（消化器・肝臓）
99,第三-内科（循環器）,,,第三-内科（消化器・肝臓）,,,,柏-小児科,,,柏-内科（呼吸器）
100,本院-眼科,葛飾-内科（消化器・肝臓）,,,葛飾-眼科,,,,第三-内科（消化器・肝臓）,,
102,第三-内科（呼吸器）,葛飾-脳神経外科,,,本院-内科（循環器）,,,,本院-眼科,,
103,,,本院-耳鼻咽喉・頭頸部外科,,,本院-形成外科,柏-救急科,第三-総合診療部（その他）,,,
104,,,第三-内科（循環器）,,,第三-眼科,第三-総合診療部（その他）,第三-内科（消化器・肝臓）,,,
106,本院-精神神経科,,,第三-泌尿器科,,,,葛飾-整形外科,葛飾-内科（呼吸器）,,
109,,本院-本院放射線治療部,本院-心臓外科,,,本院-リハビリテーション科,,,,第三-総合診療部（その他）,
111,,,葛飾-整形外科,本院-形成外科,,,,第三-泌尿器科,,,本院-内視鏡部
