assigned_department,term,抽選順位推定ライン,分位点
第三-分院放射線科,6,54.0,1.0
第三-分院放射線科,8,18.0,1.0
第三-小児科,11,86.0,1.0
第三-整形外科,1,71.0,1.0
第三-整形外科,2,68.0,1.0
第三-整形外科,4,35.0,1.0
第三-泌尿器科,2,109.0,1.0
第三-泌尿器科,3,39.0,1.0
第三-泌尿器科,5,74.0,1.0
第三-泌尿器科,9,101.0,1.0
第三-泌尿器科,10,106.0,1.0
第三-泌尿器科,11,25.0,1.0
第三-産婦人科,7,32.0,1.0
第三-産婦人科,9,76.0,1.0
第三-総合診療部（その他）,1,26.0,1.0
第三-総合診療部（その他）,3,60.0,1.0
第三-総合診療部（その他）,4,94.0,1.0
第三-総合診療部（その他）,5,61.0,1.0
第三-総合診療部（その他）,6,39.0,1.0
第三-総合診療部（その他）,7,53.0,1.0
第三-総合診療部（その他）,8,95.0,1.0
第三-総合診療部（その他）,9,103.0,1.0
第三-総合診療部（その他）,10,64.0,1.0
第三-総合診療部（その他）,11,99.0,1.0
葛飾-内科（呼吸器）,1,35.0,1.0
葛飾-内科（呼吸器）,2,33.0,1.0
葛飾-内科（呼吸器）,3,99.0,1.0
葛飾-内科（呼吸器）,4,40.0,1.0
葛飾-内科（呼吸器）,5,105.0,1.0
葛飾-内科（呼吸器）,6,93.0,1.0
葛飾-内科（呼吸器）,7,69.0,1.0
葛飾-内科（呼吸器）,8,71.0,1.0
葛飾-内科（呼吸器）,9,108.0,1.0
葛飾-内科（呼吸器）,10,27.0,1.0
葛飾-内科（呼吸器）,11,91.0,1.0
葛飾-内科（循環器）,1,48.0,1.0
葛飾-内科（循環器）,2,17.0,1.0
葛飾-内科（循環器）,3,18.0,1.0
葛飾-内科（循環器）,4,50.0,1.0
葛飾-内科（循環器）,5,62.0,1.0
葛飾-内科（循環器）,6,98.0,1.0
葛飾-内科（循環器）,8,57.0,1.0
葛飾-内科（循環器）,9,1.0,1.0
葛飾-内科（循環器）,10,68.0,1.0
葛飾-内科（循環器）,11,104.0,1.0
葛飾-内科（消化器・肝臓）,1,11.0,1.0
葛飾-内科（消化器・肝臓）,2,2.0,1.0
葛飾-内科（消化器・肝臓）,3,82.0,1.0
葛飾-内科（消化器・肝臓）,4,45.0,1.0
葛飾-内科（消化器・肝臓）,5,22.0,1.0
葛飾-内科（消化器・肝臓）,6,42.0,1.0
葛飾-内科（消化器・肝臓）,9,46.0,1.0
葛飾-内科（消化器・肝臓）,10,30.0,1.0
葛飾-内科（消化器・肝臓）,11,58.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,4,37.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,6,96.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,9,41.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,10,46.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,11,95.0,1.0
葛飾-内科（腎臓・高血圧）,1,94.0,1.0
葛飾-内科（腎臓・高血圧）,4,73.0,1.0
葛飾-内科（腎臓・高血圧）,5,102.0,1.0
葛飾-内科（腎臓・高血圧）,6,70.0,1.0
葛飾-内科（腎臓・高血圧）,8,58.0,1.0
葛飾-内科（腎臓・高血圧）,9,12.0,1.0
葛飾-内科（腎臓・高血圧）,10,2.0,1.0
葛飾-分院外科,4,56.0,1.0
葛飾-分院放射線科,8,107.0,1.0
葛飾-分院放射線科,10,93.0,1.0
葛飾-整形外科,2,92.0,1.0
葛飾-整形外科,3,27.0,1.0
葛飾-整形外科,5,81.0,1.0
葛飾-整形外科,6,23.0,1.0
葛飾-整形外科,7,70.0,1.0
葛飾-整形外科,8,6.0,1.0
葛飾-整形外科,9,61.0,1.0
葛飾-整形外科,10,53.0,1.0
葛飾-整形外科,11,10.0,1.0
葛飾-泌尿器科,9,13.0,1.0
葛飾-産婦人科,4,58.0,1.0
葛飾-産婦人科,5,26.0,1.0
葛飾-産婦人科,6,75.0,1.0
葛飾-産婦人科,7,67.0,1.0
葛飾-産婦人科,9,14.0,1.0
葛飾-皮膚科,3,30.0,1.0
葛飾-皮膚科,5,13.0,1.0
葛飾-皮膚科,7,52.0,1.0
葛飾-皮膚科,8,32.0,1.0
葛飾-皮膚科,9,6.0,1.0
葛飾-眼科,1,107.0,1.0
葛飾-眼科,3,104.0,1.0
葛飾-眼科,9,83.0,1.0
葛飾-眼科,10,55.0,1.0
