student_id,lottery_order,term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11
94,17,,,本院-精神神経科,本院-整形外科,,,,本院-救急科,第三-内科（消化器・肝臓）,,第三-内科（循環器）
63,18,,本院-内科（脳神経）,,,柏-内科（消化器・肝臓）,本院-救急科,,,,葛飾-内科（消化器・肝臓）,葛飾-内科（糖尿病・代謝・内分泌）
73,19,本院-耳鼻咽喉・頭頸部外科,本院-整形外科,,柏-内科（消化器・肝臓）,,,,本院-本院画像診断部,本院-救急科,,
104,20,,,葛飾-内科（脳神経）,本院-麻酔科,,,,本院-本院画像診断部,柏-救急科,,本院-内科（脳神経）
1,21,本院-麻酔科,第三-総合診療部,,,本院-本院画像診断部,本院-内科（リウマチ・膠原病）,,,本院-整形外科,,
48,22,本院-脳神経外科,本院-本院画像診断部,,,本院-救急科,本院-麻酔科,,,本院-外科（肝胆膵）,,
67,23,本院-内科（リウマチ・膠原病）,,,本院-救急科,第三-総合診療部,,,,本院-感染制御科,本院-内科（消化器・肝臓）,
102,24,,,本院-耳鼻咽喉・頭頸部外科,葛飾-整形外科,,,,本院-救急科,本院-泌尿器科,,本院-形成外科
43,25,,本院-本院画像診断部,葛飾-内科（糖尿病・代謝・内分泌）,,本院-内科（消化器・肝臓）,,,,柏-内科（消化器・肝臓）,葛飾-整形外科,
89,26,葛飾-内科（消化器・肝臓）,,葛飾-放射,,,第三-内科（循環器）,本院-耳鼻咽喉・頭頸部外科,本院-精神神経科,,,
29,27,本院-産婦人科,柏-内科（消化器・肝臓）,,,柏-内科（腫瘍・血液）,第三-内科（消化器・肝臓）,,,柏-内科（糖尿病・代謝・内分泌）,,
97,28,本院-感染制御科,,葛飾-内科（消化器・肝臓）,,,本院-泌尿器科,本院-本院画像診断部,本院-外科（上部消化管）,,,
107,29,本院-形成外科,本院-内科（脳神経）,,本院-内科（呼吸器）,,,,本院-眼科,本院-精神神経科,,
33,30,,,本院-皮膚科,本院-本院画像診断部,,,,葛飾-皮膚科,本院-形成外科,,本院-救急科
84,31,,本院-麻酔科,本院-眼科,,本院-内科（脳神経）,,,,葛飾-放射,第三-総合診療部,
85,32,,,本院-内科（脳神経）,本院-救急科,,,,本院-産婦人科,本院-小児科,,本院-感染制御科
12,33,本院-病院病理部,葛飾-放射,,柏-救急科,,,,本院-病院病理部,柏-救急科,,
32,34,,本院-内科（リウマチ・膠原病）,第三-総合診療部,,,本院-本院画像診断部,,第三-内科（呼吸器）,,葛飾-内科（糖尿病・代謝・内分泌）,
86,35,柏-内科（消化器・肝臓）,本院-感染制御科,,本院-泌尿器科,,,,柏-内科（腫瘍・血液）,本院-精神神経科,,
66,36,本院-精神神経科,本院-形成外科,,本院-外科（肝胆膵）,,,,葛飾-整形外科,本院-本院画像診断部,,
99,37,本院-整形外科,第三-内科（消化器・肝臓）,,,本院-耳鼻咽喉・頭頸部外科,葛飾-整形外科,,,本院-眼科,,
92,38,第三-内科（糖尿病・代謝・内分泌）,,,本院-リハビリテーション科,柏-内科（消化器・肝臓）,,,本院-眼科,,,第三-総合診療部
106,39,第三-総合診療部,,本院-泌尿器科,,,本院-内科（脳神経）,本院-整形外科,本院-本院放射線治療部,,,
3,40,本院-眼科,,,本院-精神神経科,葛飾-内科（糖尿病・代謝・内分泌）,,,,本院-内科（消化器・肝臓）,第三-内科（消化器・肝臓）,
59,41,,本院-麻酔科,本院-内科（リウマチ・膠原病）,,柏-内科（リウマチ・膠原病）,,,,第三-総合診療部,第三-泌尿器科,
13,42,葛飾-内科（循環器）,葛飾-内科（糖尿病・代謝・内分泌）,,,葛飾-内科（消化器・肝臓）,本院-本院画像診断部,,,本院-内科（リウマチ・膠原病）,,
55,43,,,葛飾-整形外科,本院-整形外科,,本院-内科（消化器・肝臓）,第三-泌尿器科,,,本院-救急科,
38,44,葛飾-内科（呼吸器）,,第三-内科（消化器・肝臓）,,,本院-産婦人科,本院-本院画像診断部,柏-内科（消化器・肝臓）,,,
75,45,,本院-脳神経外科,本院-形成外科,,第三-泌尿器科,,,,葛飾-脳神経外科,本院-救急科,
23,46,,本院-内視鏡部,,,本院-麻酔科,本院-内科（消化器・肝臓）,,,,本院-本院画像診断部,本院-救急科
41,47,,,本院-精神神経科,第三-内科（消化器・肝臓）,,本院-感染制御科,柏-内科（消化器・肝臓）,,,本院-内科（消化器・肝臓）,
8,48,本院-内科（脳神経）,,,本院-内科（消化器・肝臓）,本院-整形外科,,,,本院-内視鏡部,本院-泌尿器科,
80,49,,柏-救急科,本院-耳鼻咽喉・頭頸部外科,,,第三-総合診療部,,本院-小児科,,柏-放射,
91,50,,,本院-整形外科,本院-本院画像診断部,,本院-救急科,本院-形成外科,,,柏-内科（消化器・肝臓）,
98,51,,,柏-内科（呼吸器）,柏-内科（消化器・肝臓）,,柏-泌尿器科,本院-整形外科,,,本院-形成外科,
108,52,本院-救急科,本院-内科（循環器）,,本院-外科（下部消化管）,,,,本院-内科（呼吸器）,本院-小児科,,
37,53,,本院-救急科,柏-放射,,,柏-内科（消化器・肝臓）,,本院-感染制御科,,本院-精神神経科,
30,54,,本院-心臓外科,本院-眼科,,,葛飾-分院外科,,本院-小児科,,本院-救急科,
35,55,,,本院-整形外科,本院-泌尿器科,,,,本院-外科（肝胆膵）,本院-リハビリテーション科,,本院-内科（消化器・肝臓）
16,56,,,第三-泌尿,第三-内科（消化器・肝臓）,,本院-整形外科,本院-内科（消化器・肝臓）,,,本院-救急科,
9,57,本院-小児科,,葛飾-産婦人科,,,柏-内科（消化器・肝臓）,葛飾-内科（脳神経）,柏-救急科,,,
27,58,,,本院-内科（脳神経）,本院-救急科,,本院-形成外科,本院-精神神経科,,,本院-産婦人科,
49,59,,第三-泌尿器科,第三-内科（糖尿病・代謝・内分泌）,,第三-内科（消化器・肝臓）,,,,本院-眼科,葛飾-総合診療部,
100,60,本院-心臓外科,本院-精神神経科,,,本院-整形外科,葛飾-放射,,,本院-病院病理部,,
45,61,本院-内科（脳神経）,,,第三-放射,本院-脳神経外科,,,,柏-内科（リウマチ・膠原病）,柏-泌尿器科,
18,62,,本院-救急科,本院-感染制御科,,,本院-泌尿器科,,本院-外科（下部消化管）,,本院-整形外科,
95,63,柏-放射,,柏-内科（消化器・肝臓）,,,本院-精神神経科,本院-感染制御科,第三-泌尿器科,,,
36,64,,柏-内科（消化器・肝臓）,,,本院-形成外科,第三-泌尿器科,,,,本院-眼科,柏-泌尿器科
11,65,,,柏-内科（消化器・肝臓）,本院-内科（消化器・肝臓）,,葛飾-内科（循環器）,第三-内科（循環器）,,,葛飾-内科（呼吸器）,
93,66,,,本院-内科（消化器・肝臓）,本院-リハビリテーション科,,第三-総合診療部,葛飾-分院放射線科,,,本院-内視鏡部,
24,67,,本院-内科（消化器・肝臓）,本院-形成外科,,本院-小児科,,,,葛飾-内科（循環器）,本院-耳鼻咽喉・頭頸部外科,
15,68,,本院-外科（血管）,柏-内科（腫瘍・血液）,,本院-心臓外科,,,,本院-救急科,本院-外科（肝胆膵）,
4,69,本院-外科（小児）,,柏-産婦人科,,,本院-救急科,本院-形成外科,本院-小児科,,,
25,70,,,本院-病院病理部,本院-感染制御科,,,,本院-内科（脳神経）,本院-内科（腎臓・高血圧）,,本院-脳神経外科
90,71,柏-救急科,,本院-麻酔科,,,柏-内科（循環器）,本院-産婦人科,柏-内科（呼吸器）,,,
57,72,,,本院-麻酔科,本院-脳神経外科,,,,第三-放射,本院-内科（脳神経）,,本院-リハビリテーション科
68,73,葛飾-脳神経外科,,,本院-脳神経外科,本院-形成外科,,,本院-内科（消化器・肝臓）,,,葛飾-整形外科
39,74,,第三-内科（循環器）,,,第三-内科（呼吸器）,柏-救急科,,,,葛飾-分院外科,本院-泌尿器科
56,75,,葛飾-泌尿器科,第三-総合診療部,,第三-内科（糖尿病・代謝・内分泌）,,,,本院-小児科,本院-感染制御科,
40,76,第三-総合診療部,,,第三-内科（腫瘍・血液）,第三-内科（腎臓・高血圧）,,,柏-救急科,,,第三-放射
47,77,,第三-内科（腎臓・高血圧）,本院-小児科,,本院-リハビリテーション科,,,,本院-耳鼻咽喉・頭頸部外科,第三-内科（糖尿病・代謝・内分泌）,
88,78,,,第三-放射,第三-整形外科,,柏-救急科,本院-リハビリテーション科,,,葛飾-泌尿器科,
5,79,柏-内科（消化器・肝臓）,,,本院-心臓外科,柏-救急科,,,本院-脳神経外科,,,本院-外科（肝胆膵）
28,80,本院-脳神経外科,,,本院-救急科,本院-リハビリテーション科,,,第三-総合診療部,,,本院-整形外科
51,81,,本院-リハビリテーション科,柏-内科（腎臓・高血圧）,,,第三-内科（糖尿病・代謝・内分泌）,,柏-内科（消化器・肝臓）,,本院-内科（脳神経）,
31,82,葛飾-放射,,,柏-内科（腫瘍・血液）,葛飾-総合診療部,,,,本院-救急科,本院-内科（リウマチ・膠原病）,
78,83,柏-整形外科,,,本院-形成外科,葛飾-整形外科,,,,本院-心臓外科,本院-外科（下部消化管）,
50,84,,,葛飾-内科（循環器）,葛飾-内科（呼吸器）,,,,柏-内科（腎臓・高血圧）,本院-リハビリテーション科,,柏-内科（腫瘍・血液）
52,85,,,柏-内科（循環器）,第三-総合診療部,,,,本院-内科（リウマチ・膠原病）,柏-救急科,,葛飾-内科（呼吸器）
44,86,本院-小児科,,,本院-外科（小児）,本院-本院放射線治療部,,,,柏-内科（呼吸器）,柏-内科（循環器）,
7,87,柏-内科（腎臓・高血圧）,,,葛飾-放射,本院-外科（小児）,,,,本院-脳神経外科,本院-産婦人科,
96,88,,本院-泌尿器科,,,本院-内科（消化器・肝臓）,本院-脳神経外科,,,,第三-内科（循環器）,本院-救急科
81,89,第三-内科（腫瘍・血液）,,,柏-放射,本院-精神神経科,,,葛飾-内科（糖尿病・代謝・内分泌）,,,本院-形成外科
65,90,,本院-泌尿器科,柏-泌尿器科,,葛飾-泌尿器科,,,,第三-泌尿器科,本院-外科（血管）,
103,91,本院-外科（血管）,,,柏-整形外科,本院-救急科,,,,葛飾-整形外科,第三-内科（呼吸器）,
34,92,,第三-総合診療部,本院-麻酔科,,,柏-救急科,,葛飾-放射,,本院-内科（脳神経）,
22,93,本院-精神神経科,本院-救急科,,,本院-感染制御科,本院-外科（呼吸器）,,,本院-耳鼻咽喉・頭頸部外科,,
64,94,本院-救急科,,,本院-精神神経科,本院-眼科,,,,本院-内科（消化器・肝臓）,本院-内視鏡部,
62,95,柏-救急科,,,第三-総合診療部,第三-内科（循環器）,,,本院-外科（呼吸器）,,,本院-整形外科
53,96,,本院-整形外科,,,本院-内科（脳神経）,本院-救急科,,,,第三-総合診療部,本院-リハビリテーション科
10,97,,第三-内科（糖尿病・代謝・内分泌）,本院-内視鏡部,,,葛飾-内科（糖尿病・代謝・内分泌）,,葛飾-内科（呼吸器）,,柏-内科（腎臓・高血圧）,
105,98,,,本院-麻酔科,第三-泌尿器科,本院-精神神経科,本院-眼科,本院-救急科,,,本院-脳神経外科,
79,99,本院-麻酔科,,本院-救急科,,,本院-産婦人科,本院-精神神経科,本院-皮膚科,,,
21,100,第三-総合診療部,,,本院-内科（脳神経）,本院-麻酔科,,,本院-内視鏡部,,,柏-救急科
42,101,,,第三-内科（循環器）,本院-内科（リウマチ・膠原病）,,本院-耳鼻咽喉・頭頸部外科,本院-内科（消化器・肝臓）,,,葛飾-放射,
58,102,,本院-精神神経科,本院-産婦人科,,,本院-小児科,,柏-外科,,本院-外科（呼吸器）,
71,103,,本院-救急科,本院-産婦人科,,,本院-耳鼻咽喉・頭頸部外科,,柏-放射,,柏-整形外科,
101,104,,本院-麻酔科,第三-総合診療部,,本院-小児科,,,,本院-救急科,柏-小児科,
70,105,本院-救急科,,,第三-内科（循環器）,葛飾-放射,,,,柏-内科（循環器）,柏-内科（糖尿病・代謝・内分泌）,
54,106,,本院-救急科,本院-内科（糖尿病・代謝・内分泌）,,,第三-内科（呼吸器）,,本院-内科（腎臓・高血圧）,,本院-耳鼻咽喉・頭頸部外科,
