student_id,term,assigned_department,matched_priority
76,1,柏-救急科,4.0
76,2,柏-救急科,4.0
76,5,柏-救急科,4.0
76,9,柏-救急科,4.0
106,1,本院-内科（脳神経）,7.0
106,4,第三-内科（呼吸器）,5.0
106,8,第三-内科（呼吸器）,5.0
106,9,葛飾-内科（呼吸器）,4.0
63,1,第三-精神神経科,1.0
63,4,第三-精神神経科,1.0
63,5,第三-精神神経科,1.0
63,9,第三-精神神経科,1.0
47,2,第三-内科（消化器・肝臓）,4.0
47,5,本院-本院画像診断部,1.0
47,6,本院-本院画像診断部,1.0
47,10,本院-本院画像診断部,1.0
55,2,柏-精神神経科,1.0
55,3,柏-整形外科,3.0
55,6,柏-整形外科,3.0
55,10,柏-精神神経科,1.0
56,3,未配属,
56,6,未配属,
56,7,本院-心臓外科,3.0
56,8,本院-心臓外科,3.0
66,1,本院-精神神経科,4.0
66,4,本院-眼科,2.0
66,8,本院-眼科,2.0
66,9,本院-精神神経科,4.0
24,2,葛飾-整形外科,3.0
24,3,葛飾-内科（消化器・肝臓）,1.0
24,6,葛飾-内科（消化器・肝臓）,1.0
24,10,葛飾-内科（消化器・肝臓）,1.0
92,1,本院-小児科,1.0
92,4,本院-小児科,1.0
92,5,本院-小児科,1.0
92,9,本院-小児科,1.0
17,3,本院-内科（循環器）,1.0
17,6,本院-内科（循環器）,1.0
17,7,本院-内科（循環器）,1.0
17,10,本院-整形外科,2.0
94,1,葛飾-内科（糖尿病・代謝・内分泌）,4.0
94,4,本院-内科（脳神経）,1.0
94,5,本院-内科（脳神経）,1.0
94,9,本院-内科（脳神経）,1.0
73,1,第三-内科（腎臓・高血圧）,1.0
73,2,柏-内科（腫瘍・血液）,3.0
73,5,第三-内科（腎臓・高血圧）,1.0
73,9,第三-内科（腎臓・高血圧）,1.0
48,2,本院-麻酔科,2.0
48,5,本院-麻酔科,2.0
48,6,本院-麻酔科,2.0
48,10,本院-麻酔科,2.0
31,1,本院-耳鼻咽喉・頭頸部外科,1.0
31,2,本院-耳鼻咽喉・頭頸部外科,1.0
31,5,本院-耳鼻咽喉・頭頸部外科,1.0
31,9,本院-耳鼻咽喉・頭頸部外科,1.0
90,1,本院-感染制御科,3.0
90,4,本院-本院画像診断部,1.0
90,8,本院-感染制御科,3.0
90,9,本院-皮膚科,4.0
84,2,本院-麻酔科,3.0
84,3,本院-麻酔科,3.0
84,6,本院-麻酔科,3.0
84,10,本院-麻酔科,3.0
22,2,本院-内科（リウマチ・膠原病）,1.0
22,5,本院-内科（リウマチ・膠原病）,1.0
22,9,本院-内科（リウマチ・膠原病）,1.0
22,10,本院-内科（リウマチ・膠原病）,1.0
