student_id,希望科,通過確率
45,本院-内科（脳神経）,100.0
45,第三-総合診療部（その他）,100.0
45,本院-本院画像診断部,90.0
45,柏-泌尿器科,93.3
45,本院-内科（リウマチ・膠原病）,93.3
45,本院-感染制御科,93.3
45,本院-形成外科,96.7
67,本院-耳鼻咽喉・頭頸部外科,96.7
67,葛飾-内科（消化器・肝臓）,0.0
67,柏-救急科,100.0
67,葛飾-内科（腫瘍・血液）,0.0
67,第三-分院外科,96.7
67,柏-内科（呼吸器）,0.0
67,葛飾-本院外科（血管）,0.0
67,柏-本院外科（肝胆膵）,0.0
67,柏-本院外科（小児）,0.0
67,柏-本院外科（肝胆膵）,0.0
59,葛飾-内科（消化器・肝臓）,0.0
59,柏-内科（消化器・肝臓）,0.0
59,第三-内科（消化器・肝臓）,100.0
59,本院-本院画像診断部,96.7
59,柏-内科（呼吸器）,90.0
59,葛飾-内科（呼吸器）,96.7
59,本院-感染制御科,96.7
59,柏-泌尿器科,100.0
59,第三-内科（呼吸器）,100.0
59,葛飾-内科（循環器）,100.0
2,本院-眼科,76.7
2,本院-本院外科（呼吸器）,0.0
2,葛飾-内科（消化器・肝臓）,0.0
2,本院-本院画像診断部,0.0
2,葛飾-内科（腎臓・高血圧）,96.7
2,葛飾-眼科,90.0
2,本院-感染制御科,53.3
2,葛飾-内科（腎臓・高血圧）,93.3
28,葛飾-内科（消化器・肝臓）,93.3
28,葛飾-内科（循環器）,100.0
28,本院-本院画像診断部,100.0
28,第三-内科（消化器・肝臓）,93.3
28,本院-リハビリテーション科,100.0
28,本院-内科（消化器・肝臓）,100.0
28,本院-本院外科（血管）,0.0
100,本院-眼科,100.0
100,葛飾-眼科,100.0
100,葛飾-内科（消化器・肝臓）,0.0
100,第三-内科（消化器・肝臓）,96.7
100,第三-泌尿器科,100.0
100,第三-整形外科,100.0
100,葛飾-整形外科,93.3
100,第三-内科（呼吸器）,100.0
100,本院-分院放射線科,0.0
100,第三-分院外科,100.0
111,葛飾-内科（消化器・肝臓）,0.0
111,葛飾-整形外科,0.0
111,第三-泌尿器科,0.0
111,本院-本院外科（肝胆膵）,0.0
111,本院-整形外科,0.0
111,本院-形成外科,0.0
111,本院-内科（消化器・肝臓）,0.0
111,本院-本院画像診断部,0.0
111,本院-本院外科（上部消化管）,0.0
111,本院-心臓外科,0.0
89,本院-内科（消化器・肝臓）,100.0
89,本院-整形外科,100.0
89,本院-内科（循環器）,96.7
89,本院-感染制御科,93.3
89,柏-内科（消化器・肝臓）,80.0
89,柏-内科（消化器・肝臓）,86.7
89,柏-内科（消化器・肝臓）,83.3
77,本院-眼科,100.0
77,本院-本院画像診断部,100.0
77,葛飾-内科（消化器・肝臓）,0.0
77,柏-精神神経科,60.0
77,柏-内科（消化器・肝臓）,30.0
77,葛飾-内科（循環器）,90.0
77,葛飾-内科（糖尿病・代謝・内分泌）,83.3
77,第三-内科（消化器・肝臓）,73.3
77,柏-内科（呼吸器）,93.3
77,本院-感染制御科,90.0
88,本院-内科（消化器・肝臓）,100.0
88,本院-整形外科,100.0
88,本院-内科（循環器）,93.3
88,本院-内視鏡部,100.0
88,柏-内科（消化器・肝臓）,0.0
88,柏-内科（消化器・肝臓）,0.0
88,柏-内科（消化器・肝臓）,0.0
75,本院-感染制御科,40.0
75,柏-泌尿器科,100.0
75,葛飾-総合診療部（その他）,0.0
75,柏-救急科,100.0
75,本院-救急科,100.0
75,本院-本院画像診断部,36.7
75,柏-内科（呼吸器）,0.0
75,第三-泌尿器科,100.0
75,葛飾-内科（糖尿病・代謝・内分泌）,36.7
18,第三-内科（糖尿病・代謝・内分泌）,86.7
18,本院-精神神経科,100.0
18,柏-内科（消化器・肝臓）,23.3
18,葛飾-内科（消化器・肝臓）,0.0
18,第三-内科（消化器・肝臓）,76.7
18,柏-内科（呼吸器）,76.7
18,本院-リハビリテーション科,96.7
43,柏-精神神経科,0.0
43,柏-内科（消化器・肝臓）,90.0
43,葛飾-整形外科,96.7
43,本院-本院放射線治療部,100.0
43,本院-整形外科,100.0
43,本院-本院外科（血管）,0.0
43,葛飾-内科（消化器・肝臓）,90.0
43,本院-本院外科（肝胆膵）,0.0
43,第三-内科（呼吸器）,100.0
43,本院-心臓外科,100.0
81,本院-内科（消化器・肝臓）,86.7
81,葛飾-皮膚科,100.0
81,葛飾-内科（循環器）,73.3
81,本院-内科（糖尿病・代謝・内分泌）,100.0
81,本院-精神神経科,100.0
81,本院-皮膚科,100.0
81,葛飾-内科（消化器・肝臓）,0.0
81,柏-内科（消化器・肝臓）,0.0
16,本院-耳鼻咽喉・頭頸部外科,100.0
16,本院-内科（消化器・肝臓）,60.0
16,本院-形成外科,96.7
16,本院-整形外科,100.0
16,柏-内科（消化器・肝臓）,0.0
16,葛飾-整形外科,80.0
16,葛飾-内科（消化器・肝臓）,30.0
16,第三-内科（消化器・肝臓）,63.3
16,本院-眼科,93.3
16,葛飾-内科（循環器）,73.3
61,本院-形成外科,100.0
61,葛飾-分院外科,100.0
61,葛飾-内科（呼吸器）,0.0
61,本院-本院外科（乳腺・内分泌）,0.0
61,葛飾-内科（呼吸器）,0.0
61,本院-本院外科（呼吸器）,0.0
61,本院-眼科,93.3
61,第三-内科（呼吸器）,80.0
61,柏-内科（呼吸器）,80.0
61,本院-本院外科（肝胆膵）,0.0
61,本院-本院画像診断部,96.7
61,本院-本院外科（小児）,0.0
61,本院-本院放射線治療部,83.3
61,本院-麻酔科,100.0
61,本院-本院外科（血管）,0.0
50,柏-内科（消化器・肝臓）,100.0
50,葛飾-内科（消化器・肝臓）,100.0
50,本院-本院画像診断部,100.0
50,本院-内科（脳神経）,100.0
50,本院-内視鏡部,100.0
50,第三-内科（消化器・肝臓）,100.0
50,柏-精神神経科,0.0
50,本院-精神神経科,100.0
50,第三-内科（糖尿病・代謝・内分泌）,100.0
50,第三-内科（脳神経）,100.0
109,本院-心臓外科,96.7
109,本院-リハビリテーション科,100.0
109,第三-総合診療部（その他）,100.0
109,本院-本院放射線治療部,96.7
109,本院-救急科,100.0
109,柏-救急科,100.0
109,本院-感染制御科,93.3
109,本院-麻酔科,100.0
109,本院-泌尿器科,100.0
109,第三-分院放射線科,100.0
24,葛飾-内科（消化器・肝臓）,76.7
24,柏-内科（消化器・肝臓）,76.7
24,柏-精神神経科,76.7
24,第三-内科（消化器・肝臓）,90.0
24,本院-精神神経科,100.0
24,葛飾-整形外科,96.7
24,本院-救急科,100.0
24,葛飾-内科（糖尿病・代謝・内分泌）,90.0
24,柏-整形外科,100.0
24,本院-眼科,100.0
21,本院-本院画像診断部,56.7
21,本院-本院外科（血管）,0.0
21,本院-心臓外科,90.0
21,柏-内科（消化器・肝臓）,0.0
21,柏-内科（消化器・肝臓）,0.0
21,本院-精神神経科,100.0
21,柏-救急科,100.0
21,柏-内科（呼吸器）,46.7
21,葛飾-内科（呼吸器）,46.7
21,本院-内視鏡部,100.0
17,第三-内科（循環器）,90.0
17,第三-整形外科,100.0
17,本院-心臓外科,73.3
17,本院-本院外科（上部消化管）,0.0
17,第三-内科（呼吸器）,10.0
17,第三-内科（腫瘍・血液）,100.0
17,第三-本院外科（肝胆膵）,0.0
17,本院-リハビリテーション科,83.3
17,本院-脳神経外科,96.7
17,第三-総合診療部（その他）,96.7
29,本院-眼科,93.3
29,第三-内科（消化器・肝臓）,36.7
29,葛飾-内科（消化器・肝臓）,0.0
29,葛飾-内科（糖尿病・代謝・内分泌）,86.7
29,第三-内科（糖尿病・代謝・内分泌）,0.0
29,第三-内科（糖尿病・代謝・内分泌）,0.0
29,本院-本院画像診断部,80.0
22,葛飾-内科（消化器・肝臓）,0.0
22,第三-総合診療部（看護共修実習：2ターム目のみ）,53.3
22,本院-内科（リウマチ・膠原病）,93.3
22,柏-内科（消化器・肝臓）,0.0
22,本院-本院画像診断部,33.3
22,第三-総合診療部（その他）,100.0
22,本院-内視鏡部,100.0
68,柏-内科（消化器・肝臓）,76.7
68,葛飾-内科（消化器・肝臓）,0.0
68,柏-内科（呼吸器）,83.3
68,柏-精神神経科,40.0
68,葛飾-内科（糖尿病・代謝・内分泌）,83.3
68,第三-内科（消化器・肝臓）,76.7
68,葛飾-内科（呼吸器）,86.7
68,本院-本院画像診断部,93.3
68,本院-精神神経科,100.0
68,葛飾-内科（循環器）,86.7
68,柏-内科（循環器）,96.7
68,本院-感染制御科,86.7
68,本院-内科（リウマチ・膠原病）,96.7
68,柏-内科（腫瘍・血液）,100.0
68,第三-内科（呼吸器）,56.7
68,第三-内科（糖尿病・代謝・内分泌）,80.0
68,本院-眼科,93.3
68,柏-泌尿器科,96.7
68,本院-形成外科,96.7
68,本院-小児科,100.0
